1_num	2_andr_10KHz_time_nanosec	3_andr_100KHz_time_nanosec	4_andr_1000KHz_time_nanosec	5_disc_10KHz_time_nanosec	6_disc_100KHz_time_nanosec	7_disc_1000KHz_time_nanosec	8_ram_10KHz_time_nanosec	9_two_10KHz_time_nanosec	10_two_100KHz_time_nanosec	11_two_1000KHz_time_nanosec
114	inf	62609920	inf	1440000	30179840	28850176	118589952	1100032	44109824	52719872
115	inf	62760192	inf	1059840	29880064	28539904	118209792	1100032	43929856	52829952
116	inf	62480128	inf	1190144	29710080	30329856	117890048	1100032	43560192	54230016
117	inf	61989888	inf	1319936	31190016	31590144	117570048	1110016	43280128	55209984
118	inf	61700096	inf	2009856	31289856	31279872	118979840	1080064	42820096	56679936
119	inf	61420032	inf	1849856	32009984	30979840	122050048	1090048	42309888	56850176
120	inf	61070080	inf	1460224	32029952	30690048	122540032	1090048	42050048	57090048
121	inf	61350144	inf	1529856	33319936	30400000	125550080	1090048	41949952	57999872
122	inf	62170112	inf	1139968	42180096	30080000	125430016	1110016	41660160	58360064
123	inf	61899776	inf	960000	41790208	29779968	125949952	1110016	41390080	59749888
124	inf	61629952	inf	2190080	40969984	29489920	127509760	1120000	41120000	61210112
125	inf	60619776	inf	2300160	40529920	29160192	129819904	1090048	40809984	61039872
126	inf	60290048	inf	2629888	40240128	29029888	135000064	1100032	40529920	63020032
127	inf	59369984	inf	2819840	39950080	30380032	138430208	1090048	40270080	63139840
128	inf	59070208	inf	2850048	40019968	30289920	138360064	1139968	40019968	64349952
129	inf	58690048	inf	2409984	39459840	31940096	138459904	1159936	39759872	64569856
130	inf	58309888	inf	2210048	39090176	33569792	138810112	1159936	39360000	64730112
131	inf	57949952	inf	1740032	38769920	36659968	138500096	1100032	39159808	66060032
132	inf	57449984	inf	1550080	38390016	36089856	139039744	1090048	38970112	65980160
133	inf	57009920	inf	1210112	40489984	38080000	138739968	1090048	38700032	65789952
134	inf	55949824	inf	1299968	40420096	38560000	144969984	1129984	38510080	65760000
135	inf	56069888	inf	2040064	41499904	38470144	144790016	1090048	38299904	65349888
136	inf	56199936	inf	2230016	41600000	40089856	146319872	1090048	38119936	65030144
137	inf	59409920	inf	2339840	41420032	40140032	145800192	1080064	37819904	65020160
138	inf	62439936	inf	2749952	40579840	44509952	145469952	1090048	37349888	65299968
139	inf	65650176	inf	2860032	40230144	44259840	146710016	1089792	37029888	65240064
140	inf	67130112	inf	3219968	38500096	43990016	147660032	1150208	36809984	65090048
141	inf	66860032	inf	3350016	37900032	43750144	150299904	1100032	36640256	65060096
142	inf	66560000	inf	3429888	37600000	43020032	149609984	1080064	36140032	65530112
143	inf	66240000	inf	3520000	37309952	42699776	151980032	1129984	35919872	65669888
144	inf	65920000	inf	3739904	37029888	42409984	157600000	1090048	37080064	65490176
145	inf	65459968	inf	3790080	36700160	42139904	162200064	1069824	36819968	66629888
146	inf	66610176	inf	3520000	36359936	41870080	161890048	1129984	36430080	66630144
147	inf	68080128	inf	3130112	35750144	41790208	168440064	1079808	36209920	67759872
148	inf	68520192	inf	2550016	34789888	41929984	167909888	1099776	35980032	69120000
149	inf	68229888	inf	2339840	33999872	41639936	167730176	1080064	35869952	69629952
150	inf	67559936	inf	1750016	33670144	41750016	167729920	1240064	35369984	70779904
151	inf	66960128	inf	699904	33380096	42089984	167419904	1070080	35049984	71040000
152	inf	66609920	inf	940032	33059840	41799936	167099904	770048	34739968	73009920
153	inf	66330112	inf	1499904	32770048	42080000	167970048	749824	34439936	74430208
154	inf	66449920	inf	1910016	32489984	41799936	171389952	759808	33910016	75840000
155	inf	66179840	inf	2269952	32160256	41510144	171279872	729856	33619968	76519936
156	inf	65670144	inf	2329856	31849984	39490048	171180032	749824	33330176	77349888
157	inf	65379840	inf	2120192	31569920	39139840	170710016	739840	33030144	78119936
158	inf	64930048	inf	1989888	31240192	38590208	173009920	749824	32790016	79219968
159	inf	65659904	inf	1569792	30909952	38240000	180699904	740096	32620032	79250176
160	inf	66129920	inf	1530112	30619904	41760000	181309952	760064	32179968	80039936
161	inf	68059904	inf	1049856	30330112	41639936	185050112	740096	31830016	82330112
162	inf	68549888	inf	1199872	29839872	43000064	184780032	750080	31680000	84710144
163	inf	69440000	inf	1299968	29509888	42720000	184429824	740096	31290112	84909824
164	inf	78080000	inf	1979904	29210112	42420224	184679936	740096	31089920	84800000
165	inf	89019904	inf	1810176	28869888	42129920	184369920	750080	30980096	84790016
166	inf	88250112	inf	1360128	28049920	41549824	184050176	760064	30710016	84499968
167	inf	87749888	inf	1060096	28050176	41280000	183719936	750080	30530048	84339968
168	inf	87240192	inf	4780032	27170048	41019904	183399936	740096	30200064	84230144
169	inf	86949888	inf	4910080	26779904	42360064	182840064	809984	29739776	84229888
170	4600064	86629888	inf	4770048	26470144	43489792	182519808	790016	29440000	83959808
171	5730048	86320128	inf	5090048	26080000	43800064	182200064	750080	29219840	83620096
172	27949824	90560000	inf	5029888	25769984	46589952	181900032	730112	28819968	83459840
173	41929984	93569792	inf	2990080	25459968	45760000	181530112	740096	28639744	83110144
174	41670144	94830080	inf	2820096	25139968	45449984	181979904	740096	28220160	84189952
175	45820160	96869888	inf	2710016	24229888	45149952	181850112	759808	29910016	84890112
176	50539776	105540096	inf	1639936	23780096	44860160	181799936	790016	29969920	85679872
177	52360192	106640128	inf	1019904	22959872	44579840	181520128	749824	29600000	85779968
178	52230144	106350080	inf	1159936	22500096	44499968	182819840	740096	29219840	85800192
179	51949824	105900032	inf	1240064	22559744	46870016	182470144	779776	28839936	85509888
180	51670016	104480000	inf	1309952	22590208	46599936	182140160	739840	28470016	85449984
181	53129984	103869952	inf	1170176	22309888	46310144	183789824	739840	27889920	85190144
182	57859840	103569920	inf	4489984	24760064	46020096	185479936	749824	27499776	86159872
183	59599872	103240192	inf	4450048	24349952	45419776	185169920	749824	27120128	86810112
184	59609856	102970112	inf	4290048	23869952	45120000	184559872	739840	26700032	87639808
185	59330048	102659840	inf	4480000	23580160	44809984	184410112	739840	26439936	88669952
186	71449856	102320128	inf	4890112	22979840	43240192	185710080	749824	26069760	89340160
187	71170048	102039808	inf	5280000	23279872	42880000	187659776	729856	27149824	89779968
188	73449984	101760000	inf	5710080	25079808	42589952	189250048	729856	27009792	90919936
189	73650176	101900032	inf	6139904	25769984	43830016	192630016	749824	26950144	91310080
190	74660096	101379840	inf	6299904	25580032	43159808	192070144	780032	26729984	91450112
191	90080000	101149952	inf	6129920	25609984	43130112	197100032	770048	27049984	91399936
192	89859840	100670208	inf	5810176	25340160	42820096	198450176	730112	27430144	91120128
193	91269888	100950016	inf	5320192	25810176	42540032	198129920	780032	28199936	90970112
194	90960128	98940160	inf	5360128	25580032	42279936	199419904	739840	29349888	90850048
195	90670080	98380032	inf	4910080	25389824	44860160	200029952	749824	29199872	93059840
196	90400000	98049792	inf	4749824	29039872	46330112	199720192	729856	29250048	94490112
197	90230016	97510144	inf	4439808	28760064	46139904	199539968	819968	29060096	95150080
198	92450048	97179904	inf	3860224	28480000	50510080	201550080	750080	29020160	95270144
199	97030144	97100032	inf	3130112	28060160	50240000	203090176	740096	29949952	95909888
200	96770048	96930048	inf	1619968	27559936	49750016	203249920	750080	34949888	97329920
201	97649920	96389888	inf	3529984	27209984	49469952	208749824	749824	36519936	98770176
202	100979968	106030080	inf	2819840	26760192	49179904	211099904	729856	38149888	99510016
203	100670208	105719808	inf	2800128	26310144	48900096	215290112	739840	39000064	100310016
204	101309952	105280000	inf	2520064	25869824	48679936	214949888	739840	40529920	101040128
205	101539840	106649856	inf	2230016	25520128	48409856	214799872	779776	45769984	102090240
206	101710080	107510016	inf	2109952	25220096	48090112	215680000	739840	46700032	102579968
207	101430016	107539968	inf	1639936	24859904	47820032	215510016	749824	48189952	102540032
208	101980160	107899904	inf	829952	24519936	47490048	217249792	739840	51369984	102620160
209	105719808	108110080	inf	800000	23749888	46700032	216940032	729856	53200128	102919936
210	105449984	108110080	inf	800000	23060224	46400000	216590080	739840	54929920	104879872
211	107450112	108249856	inf	1129984	20560128	46060032	216270080	760064	54669824	106749952
212	109319936	107980032	inf	1289984	20150016	45769984	216130048	730112	54329856	107840000
213	109040128	107709952	inf	1300224	19860224	45469952	219259904	740096	53870080	108499968
214	110629888	107370240	inf	1750016	19409920	44809984	221149952	730112	54739968	109410048
215	110359808	107079936	inf	1860096	18989824	44480000	226350080	750080	56610048	110419968
216	110429952	106809856	inf	1479936	16690176	43559936	227960064	730112	57220096	111560192
217	110160128	106490112	inf	1139968	16320000	43249920	233880064	790016	57240064	111539968
218	109870080	106210048	inf	1060096	15219968	43980032	233410048	750080	57580032	112809984
219	109589760	105929984	inf	1159936	14749952	43729920	233090048	740096	58579968	112880128
220	109309952	105619968	inf	1210112	20860160	46180096	232960000	740096	59480064	114910208
221	109029888	105310208	inf	839936	20529920	45900032	232679936	750080	59869952	116389888
222	108679936	104979968	inf	1350144	20669952	45609984	234970112	770048	60649984	117799936
223	116630016	104630016	inf	1370112	20719872	44960000	234560000	730112	61129984	118440192
224	116359936	104070144	inf	1280000	20270080	48829952	237179904	750080	61050112	119279872
