num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
162	36039936	2249984	inf	110370048	63340032	6540032	51709952	46129920	56490240
163	36119808	2589952	inf	109870080	63059968	6260224	51360000	45400064	56160000
164	35620096	2540032	inf	109440000	62640128	5750016	51010048	44579840	55830016
165	37449984	2550016	inf	109100032	62350080	5430016	50670080	44259840	56839936
166	37080064	2330112	inf	109229824	62050048	5169920	50369792	43930112	56720128
167	35539968	2150144	inf	108489984	61760000	5679872	49600000	43429888	57400064
168	37399808	2550016	inf	110180096	61469952	6180096	49289984	43130112	56590080
169	37120000	2929920	inf	110670080	61179904	5580032	48690176	42769920	55849984
170	36819968	3820032	inf	110099968	60770048	5820160	48400128	42439936	55379968
171	38460160	4029952	inf	116979968	60470016	5979904	47560192	42140160	54780160
172	38520064	4300032	inf	116480000	60180224	5839872	47219968	41889792	54159872
173	38259968	4199936	inf	116069888	59899904	5920000	45859840	41600000	53850112
174	37250048	4910080	inf	115770112	59599872	5749760	45530112	41369856	53459968
175	36940032	7030016	inf	115340032	59310080	6019840	45230080	41050112	52960000
176	36640000	7060224	inf	115660032	58789888	5070080	43889920	40750080	52649984
177	36359936	7229952	inf	115380224	58329856	6820096	43580160	43680000	53420032
178	36070144	6060032	inf	115020032	57860096	6969856	43249920	44729856	53059840
179	35670016	5370112	inf	114659840	57550080	6190080	42889984	43610112	52730112
180	35379968	4819968	inf	113980160	57250048	5629952	42390016	43670016	52440064
181	35090176	4499968	inf	113669888	56950016	6249984	42210048	43379968	52140032
182	34579968	3990016	inf	113280000	56659968	5989888	43620096	42779904	51640064
183	34220032	1150208	inf	112700160	56240128	5669888	44030208	42430208	51150080
184	33910016	1730048	inf	114970112	55950080	4199936	43859968	42149888	50849792
185	33619968	2439936	inf	113890048	56540160	4150016	44450048	41859840	50530048
186	33330176	2469888	inf	113709824	57419776	7040000	45379840	41560064	50240000
187	31089920	2639872	inf	113440000	58070016	9479936	48689920	41280000	51689984
188	30779904	2670080	inf	114050048	59109888	8470016	48290048	40989952	51170048
189	30569984	2899968	inf	114409984	59510016	8600064	60130048	41830144	51249920
190	30290176	2469888	inf	114109952	59580160	9400064	59539968	41539840	50970112
191	29880064	2390016	inf	113769984	59520000	9120000	59049984	42499840	50640128
192	29140224	1810176	inf	113479936	60889856	9079808	58240000	46319872	50099968
193	28800000	1860096	inf	112989952	61379840	8489984	57939968	46040064	49640192
194	28499968	1859840	inf	112679936	61149952	7980032	57639936	45750016	49329920
195	28489984	1410048	inf	112399872	61609984	9910016	57349888	45470208	48960000
196	26650112	1229824	inf	112110080	61580032	10199808	56370176	45179904	48540160
197	26170112	1039872	inf	111830016	61289984	12019968	56019968	44889856	48229888
198	26089984	1110016	inf	111540224	62860032	11730176	55719936	43960064	48579840
199	27680000	1139968	inf	111260160	62599936	11440128	55430144	52300032	49639936
200	28140032	1149952	inf	110969856	61009920	11149824	55140096	51779840	49360128
201	27820032	1090048	inf	110680064	60379904	10860032	54819840	51470080	49070080
202	27909888	1100032	inf	110390016	60019968	10289920	54150144	51180032	48780032
203	27630080	1100032	inf	110089984	59709952	9980160	53600000	55249920	48489984
204	27330048	1159936	inf	109779968	59150080	9600000	52309760	54909952	48199936
205	26929920	1180160	inf	109499904	58850048	10400256	52000000	54619904	47799808
206	26080000	1580032	inf	109019904	58560000	12419840	51709952	56099840	47500032
207	24999936	1710080	inf	108590080	58299904	12130048	51390208	55810048	47200000
208	24649984	2070016	inf	108000000	57949952	11840000	50990080	55510016	46920192
209	24339968	2220032	inf	107690240	56580096	10650112	49289984	57090048	46540032
210	24029952	1840128	inf	107739904	56219904	11180032	48920064	56640000	46089984
211	22870016	1449984	inf	107449856	55819776	10089984	48529920	58720000	45769984
212	22390016	2390016	inf	106650112	55450112	9779968	48250112	58429952	45480192
213	22080000	2060032	inf	106340096	55950080	9479936	47960064	56700160	45229824
214	21779968	2510080	inf	105939968	52579840	9189888	47619840	56120064	45700096
215	21489920	2799872	inf	103900160	53309952	8900096	47340032	55320064	45410048
216	19459840	2849792	inf	103529984	55119872	8870144	47470080	55020032	44950016
217	18670080	2909952	inf	103920128	55030016	8599808	48800000	54749952	45060096
218	18360064	2989824	inf	103549952	55949824	8950016	48409856	54480128	44780032
219	18070016	3030016	inf	103250176	58040064	8649984	46029824	56009984	44489984
220	17779968	2980096	inf	102650112	60570112	8530176	44130048	55729920	44169984
221	19180032	2980096	inf	102349824	61410048	10880000	43799808	55209984	44410112
222	19719936	3209984	inf	101600000	61090048	10470144	44450048	53080064	44089856
223	19840000	3209984	inf	101120000	62980096	10700032	49139968	52759808	43790080
224	19180032	3289856	inf	100820224	64150016	10959872	48790016	52489984	45400064
225	19820032	3270144	inf	102980096	64549888	10560000	48019968	52940032	44900096
226	19639808	3280128	inf	103430144	63980032	10230016	47580160	52659968	44430080
227	19360000	3329792	inf	104560128	64189952	9929984	47279872	52220160	44600064
228	22500096	2990080	inf	103950080	64130048	9600000	46989824	51709952	44290048
229	22210048	2449920	inf	103610112	64750080	9339904	46589952	51440128	44190208
230	21459968	1900032	4859904	102940160	64519936	8329984	46289920	51180032	44360192
231	21030144	2720000	10669824	102639872	65430016	6449920	45969920	50919936	44099840
232	19209984	2390016	8649984	102320128	65479936	6140160	45380096	50649856	44499968
233	18849792	2820096	8120064	102040064	66409984	5309952	44790016	50300160	44539904
234	18550016	2889984	8120064	100869888	67290112	7690240	44350208	49520128	44670208
235	18259968	2649856	7840000	100280064	67170048	7399936	44000000	49220096	44160000
236	17939968	2139904	8460032	99849984	67680000	7099904	43699968	52399872	43189760
237	21860096	1619968	13969920	99760128	68160000	6820096	43330048	56039936	42979840
238	20550144	829952	13690112	100969984	68110080	6530048	44009984	55750144	42439936
239	19859968	1159936	13329920	103249920	69129984	11080192	43670016	55460096	41849856
240	18950144	1209856	14439936	102860032	68490240	17730048	43529984	57539840	41540096
241	18629888	1220096	14710016	102459904	68750080	17009920	43059968	57260032	39040000
242	18319872	1289984	14530048	102149888	68420096	16910080	42599936	56969984	38700032
243	19200000	1329920	21019904	101740032	68250112	18050048	42300160	56679936	38409984
244	19640064	1400064	20569856	100450048	68460032	17750016	41959936	56390144	39229952
245	19859968	1729792	20250112	100139776	68440064	17459968	41660160	56059904	38910208
246	22380032	1510144	20009984	99830016	68519936	17179904	41329920	55509760	42149888
247	22469888	1820160	33070080	99539968	68950016	16890112	38609920	55209984	41619968
248	25289984	1900032	40169984	101510144	68999936	15699968	37270016	54909952	41210112
249	24260096	1829888	39889920	101510144	69359872	15400192	36960000	57669888	40669952
250	24370176	2119936	39599872	101220096	69289984	17869824	36669952	57339904	55340032
251	24010240	2120192	38889984	100939776	72200192	17600000	36339968	57039872	54759936
252	23450112	2290176	38199808	102269952	72869888	17309952	36019968	56750080	54459904
253	23160064	2640128	37799936	101549824	76169984	17029888	35560192	56460032	53909760
254	22780160	2479872	37430016	101180160	75849984	17949952	35239936	56170240	53420032
255	22339840	2050048	37580032	100889856	75970048	17670144	34710016	55879936	53079808
256	27759872	1400064	37270016	100600064	77540096	17579776	34409984	55579904	52760064
257	27420160	780032	36989952	100310016	78670080	17890048	34050048	55240192	52239872
258	26819840	1499904	36699904	100029952	78550016	20460032	33619968	54550016	51889920
259	26460160	1929984	36419840	99740160	78240000	22630144	33309952	54240000	51320064
260	26099968	2200064	36130048	99340032	77890048	25729792	33019904	53230080	50949888
261	25769984	2320128	35840000	99030016	77469952	25520128	32729856	52429824	47620096
262	25469952	2609920	35540224	98510080	78849792	25629952	32440064	54579968	47270144
263	25980160	2169856	35249920	98210048	78850048	25309952	32039936	59889920	46449920
264	27650048	1609984	34969856	102140160	78580224	25010176	31740160	59410176	45910016
