1_num	2_disc_10KHz_latency_ns	3_disc_100KHz_latency_ns	4_disc_1000KHz_latency_ns	5_two1_10KHz_latency_ns	6_two1_100KHz_latency_ns	7_two1_1000KHz_latency_ns	8_two2_10KHz_latency_ns	9_two2_100KHz_latency_ns	10_two2_1000KHz_latency_ns	11_two3_10KHz_latency_ns	12_two3_100KHz_latency_ns	13_two3_1000KHz_latency_ns
136	2230016	41600000	40089856	1090048	38119936	65030144	27689984	58330112	173339904	123500032	99489792	118789888
137	2339840	41420032	40140032	1080064	37819904	65020160	27360256	58179840	174259968	123599872	100300032	120519936
138	2749952	40579840	44509952	1090048	37349888	65299968	27350016	58040064	174780160	123869952	101730048	121240064
139	2860032	40230144	44259840	1089792	37029888	65240064	27299840	59580160	175069952	125379840	102819840	121799936
140	3219968	38500096	43990016	1150208	36809984	65090048	27200000	59350016	174870016	125769984	103929856	121670144
141	3350016	37900032	43750144	1100032	36640256	65060096	27219968	60569856	174710016	126889984	105390080	121760000
142	3429888	37600000	43020032	1080064	36140032	65530112	27240192	61639936	174720000	126909952	106910208	121550080
143	3520000	37309952	42699776	1129984	35919872	65669888	27509760	62369792	176160000	127170048	107619840	121710080
144	3739904	37029888	42409984	1090048	37080064	65490176	27569920	62249984	179879936	128410112	109420032	121610240
145	3790080	36700160	42139904	1069824	36819968	66629888	27630080	62690048	180059904	128470016	110130176	121629952
146	3520000	36359936	41870080	1129984	36430080	66630144	27689984	63980032	180300032	129980160	110450176	121949952
147	3130112	35750144	41790208	1079808	36209920	67759872	27800064	63930112	180549888	131040000	111599872	129360128
148	2550016	34789888	41929984	1099776	35980032	69120000	27849984	65040128	186680064	132499968	113789952	129379840
149	2339840	33999872	41639936	1080064	35869952	69629952	27930112	66459904	187010048	132720128	115240192	129669888
150	1750016	33670144	41750016	1240064	35369984	70779904	27990016	67890176	192680192	133619968	116729856	129840128
151	699904	33380096	42089984	1070080	35049984	71040000	28450048	68569856	195109888	133989888	117519872	130180096
152	940032	33059840	41799936	770048	34739968	73009920	28390144	69330176	195660032	135369984	117890048	137710080
153	1499904	32770048	42080000	749824	34439936	74430208	28549888	70449920	196130048	136869888	118620160	137920000
154	1910016	32489984	41799936	759808	33910016	75840000	28750080	70999808	196359936	139059968	119249920	138099968
155	2269952	32160256	41510144	729856	33619968	76519936	28440064	72240128	197329920	139709952	120150016	139219968
156	2329856	31849984	39490048	749824	33330176	77349888	28460032	72130048	201659904	141670144	120410112	140370176
157	2120192	31569920	39139840	739840	33030144	78119936	28699904	72960000	202340096	142009856	121550080	140619776
158	1989888	31240192	38590208	749824	32790016	79219968	28570112	72839936	202329856	144209920	122159872	142160128
159	1569792	30909952	38240000	740096	32620032	79250176	28269824	73229824	202340096	144340224	123310080	142910208
160	1530112	30619904	41760000	760064	32179968	80039936	27680000	75140096	202380032	144669952	124389888	143660032
161	1049856	30330112	41639936	740096	31830016	82330112	27599872	76610048	202360064	146080000	124489984	143830016
162	1199872	29839872	43000064	750080	31680000	84710144	27270144	77280000	202349824	147460096	125480192	144019968
163	1299968	29509888	42720000	740096	31290112	84909824	26959872	78089984	202360064	147520000	127579904	144960000
164	1979904	29210112	42420224	740096	31089920	84800000	26359808	79230208	202610176	147419904	127780096	146409984
165	1810176	28869888	42129920	750080	30980096	84790016	26159872	79929856	202889984	147360000	127719936	147800064
166	1360128	28049920	41549824	760064	30710016	84499968	26139904	81080064	203290112	147230208	127569920	147849984
167	1060096	28050176	41280000	750080	30530048	84339968	25970176	81050112	207930112	147139840	127389952	149050112
168	4780032	27170048	41019904	740096	30200064	84230144	25679872	81420032	208359936	146979840	127229952	149159936
169	4910080	26779904	42360064	809984	29739776	84229888	25570048	81499904	209509888	146830080	126929920	150259968
170	4770048	26470144	43489792	790016	29440000	83959808	26000128	82700032	209939968	146810112	126749952	150419968
171	5090048	26080000	43800064	750080	29219840	83620096	25839872	83820032	220250112	147619840	126669824	152320000
172	5029888	25769984	46589952	730112	28819968	83459840	25249792	85090048	220510208	147789824	126380032	152469760
173	2990080	25459968	45760000	740096	28639744	83110144	24189952	85769984	222009856	147640064	126150144	152950016
174	2820096	25139968	45449984	740096	28220160	84189952	23589888	87320064	227919872	147560192	125939968	153640192
175	2710016	24229888	45149952	759808	29910016	84890112	23460096	87170048	231249920	147269888	125969920	153600000
176	1639936	23780096	44860160	790016	29969920	85679872	22589952	88209920	231510016	146969856	125870080	152829952
177	1019904	22959872	44579840	749824	29600000	85779968	24130048	89689856	233019904	146870016	126259968	152200192
178	1159936	22500096	44499968	740096	29219840	85800192	23789824	89590016	234010112	146740224	126050048	152079872
179	1240064	22559744	46870016	779776	28839936	85509888	23019776	90039808	234030080	146859776	130409984	152410112
180	1309952	22590208	46599936	739840	28470016	85449984	23030016	91909888	234030080	147650048	130270208	152560128
181	1170176	22309888	46310144	739840	27889920	85190144	22839808	93360128	233999872	147749888	130459904	154839808
182	4489984	24760064	46020096	749824	27499776	86159872	23369984	94739968	234000128	147910144	130800128	154929920
183	4450048	24349952	45419776	749824	27120128	86810112	23510016	95460096	233999872	147830016	130870016	155260160
184	4290048	23869952	45120000	739840	26700032	87639808	23490048	96199936	233989888	147539968	130799872	155450112
185	4480000	23580160	44809984	739840	26439936	88669952	23529984	96989952	234020096	147379968	130670080	155360000
186	4890112	22979840	43240192	749824	26069760	89340160	23800064	96950016	234030080	147900160	130800128	155369984
187	5280000	23279872	42880000	729856	27149824	89779968	23900160	98099968	234039808	148510208	130659840	155640064
188	5710080	25079808	42589952	729856	27009792	90919936	23799808	99160064	234070016	148760064	130650112	156910080
189	6139904	25769984	43830016	749824	26950144	91310080	23190016	99979776	234370048	148700160	130449920	156920064
190	6299904	25580032	43159808	780032	26729984	91450112	22090240	99919872	235140096	148579840	130150144	158320128
191	6129920	25609984	43130112	770048	27049984	91399936	21680128	100230144	235209984	148440064	129859840	158940160
192	5810176	25340160	42820096	730112	27430144	91120128	20539904	102149888	235249920	148430080	129779968	160950016
193	5320192	25810176	42540032	780032	28199936	90970112	20150016	102889984	235280128	148239872	129490176	161149952
194	5360128	25580032	42279936	739840	29349888	90850048	19379968	103689984	235269888	148110080	129179904	162680064
195	4910080	25389824	44860160	749824	29199872	93059840	18810112	104830208	235279872	148019968	128879872	164770048
196	4749824	29039872	46330112	729856	29250048	94490112	18609920	104719872	235300096	147729920	128800000	166579968
197	4439808	28760064	46139904	819968	29060096	95150080	20809984	108070144	235369984	147529984	128499968	168400128
198	3860224	28480000	50510080	750080	29020160	95270144	20509952	111929856	235660032	147470080	128160000	169500160
199	3130112	28060160	50240000	740096	29949952	95909888	20260096	112329984	236260096	148410112	128039936	171040000
200	1619968	27559936	49750016	750080	34949888	97329920	20269824	115310080	236550144	150899968	127369984	172409856
201	3529984	27209984	49469952	749824	36519936	98770176	19529984	115430144	238009856	151040000	127269888	173479936
202	2819840	26760192	49179904	729856	38149888	99510016	18739968	115539968	242009856	151290112	127160064	174190080
203	2800128	26310144	48900096	739840	39000064	100310016	17920000	115959808	251300096	153220096	127059968	173859840
204	2520064	25869824	48679936	739840	40529920	101040128	17880064	115650048	251620096	153869824	127299840	174670080
205	2230016	25520128	48409856	779776	45769984	102090240	17830144	115619840	252769792	155350016	127229952	175890176
206	2109952	25220096	48090112	739840	46700032	102579968	16869888	115320064	253009920	156930048	127140096	176150016
207	1639936	24859904	47820032	749824	48189952	102540032	16389888	115200000	259180032	159049984	127040000	176240128
208	829952	24519936	47490048	739840	51369984	102620160	16489984	116059904	261299968	159190016	126909952	176930048
209	800000	23749888	46700032	729856	53200128	102919936	16480000	118950144	263900160	160209920	126619904	177720064
210	800000	23060224	46400000	739840	54929920	104879872	16509952	118880000	264199936	160819968	126409984	177969920
211	1129984	20560128	46060032	760064	54669824	106749952	16520192	121479936	273449984	162699776	126109952	177870080
212	1289984	20150016	45769984	730112	54329856	107840000	16470016	122640128	273929984	164559872	125939968	177830144
213	1300224	19860224	45469952	740096	53870080	108499968	15440128	123640064	275099904	164829952	125789952	179159808
214	1750016	19409920	44809984	730112	54739968	109410048	14940160	123849984	275420160	166370048	125459968	179079936
215	1860096	18989824	44480000	750080	56610048	110419968	14599936	123929856	277330176	170929920	125250048	179010048
216	1479936	16690176	43559936	730112	57220096	111560192	13740032	124440064	280119808	174200064	125309952	178830080
217	1139968	16320000	43249920	790016	57240064	111539968	12960000	124690176	284819968	175660032	125210112	178690048
218	1060096	15219968	43980032	750080	57580032	112809984	12610048	124640000	285070080	178829824	124919808	178589952
219	1159936	14749952	43729920	740096	58579968	112880128	11650048	124509952	285319936	179120128	124630016	178599936
220	1210112	20860160	46180096	740096	59480064	114910208	11879936	135340032	288830208	180620032	124529920	178880000
221	839936	20529920	45900032	750080	59869952	116389888	11559936	135590144	289099776	188809984	124240128	180269824
222	1350144	20669952	45609984	770048	60649984	117799936	13010176	137190144	291909888	189920000	123889920	180189952
223	1370112	20719872	44960000	730112	61129984	118440192	12980224	138550016	291920128	190259968	123709952	180039936
224	1280000	20270080	48829952	750080	61050112	119279872	12689920	142169856	291950080	191760128	123610112	179910144
225	3389952	19079936	48539904	750080	60910080	121139968	12409856	145819904	291969792	197710080	123310080	179840000
226	3209984	18670080	49050112	740096	60570112	121850112	12690176	146490112	292009984	200939776	122969856	179589888
227	3280128	18210048	49910016	750080	60249856	122210048	12160000	152569856	292059904	201169920	122789888	179439872
228	3140096	17900032	51990016	759808	59909888	122259968	11559936	153390080	292120064	202700032	122810112	179320064
229	3360000	17609984	53260032	729856	59560192	122660096	11529984	154919936	292190208	208769792	122510080	179630080
230	3820032	17240064	55559936	790016	59260160	124509952	10939904	156330240	292239872	209459968	123399936	179540224
231	4169984	16950016	57070080	749824	58309888	125910016	10370048	156209920	292300032	211380224	123259904	179409920
232	4550144	16640000	56929792	780032	58149888	126560000	9679872	165570048	292349952	213659904	122960128	179729920
233	4090112	16090112	57379840	780032	58669824	127409920	9769984	165569792	292470016	221220096	122779904	179889920
234	3040000	15769856	60160000	900096	59409920	128140032	10269952	173100032	292160000	221490176	122589952	181190144
235	2710016	15219968	59470080	790016	59520000	129210112	10269952	176349952	292099840	222969856	122300160	181339904
236	2700032	15180032	59089920	749824	59419904	129129984	9959936	177820160	291990016	231209984	122110208	181730048
237	2309888	15209984	57060096	769792	58750208	130129920	10240000	182720000	291970048	232160000	121969920	183520000
238	1349888	16360192	60120064	749824	58710016	130070016	12510208	184160000	291980032	232440064	121680128	184969984
239	840192	16069888	63120128	739840	59459840	130889984	13639936	186390016	291980032	234020096	121490176	186409984
240	3169792	15729920	64359936	770048	59380224	131640064	13580032	187759872	292000000	240090112	121349888	187099904
241	3340032	15290112	65449984	740096	59089920	131969792	13289984	187719936	291980032	242129920	120979968	188379904
242	3649792	14889984	65219840	740096	58830080	131830016	12759808	194169856	292009984	242589952	120790016	189039872
243	3479808	14490112	64950016	750080	60040192	131770112	13030144	194080000	291930112	245090048	120649984	190170112
244	3609856	13990144	64659968	740096	61159936	131470080	12870144	195600128	292049920	251150080	120290048	190179840
245	3569920	15840000	64400128	740096	62019840	131429888	12839936	197720064	292000000	253299968	120089856	191270144
246	3270144	15399936	65270016	800000	61969920	131439872	12920064	197810176	292019968	253649920	119899904	192370176
247	2959872	15049984	64489984	740096	62190080	131110144	12930048	200359936	292079872	256119808	119709952	193539840
248	2529792	14729984	64179968	770048	61929984	130810112	12750080	201499904	292100096	262119936	119520000	194870016
249	1769984	14110208	63889920	739840	61379840	130659840	13829888	202929920	292130048	265250048	119219968	196290048
250	1179904	13670144	62639872	730112	60979968	130920192	13760000	206510080	292129792	265289984	119040000	196999936
251	1239808	13369856	62330112	740096	60730112	130759936	13929984	207580160	292150016	274409984	118920192	197820160
252	1289984	13040128	62030080	770048	60540160	130680064	14060032	214969856	292169984	274470144	118789888	198059776
253	1120000	12610048	61730048	750080	60260096	130369792	13959936	218230016	292240128	277749760	118499840	199520000
254	1299968	12320000	63859968	750080	60049920	130210048	13720064	225650176	292260096	277699840	118319872	200519936
255	1159936	11990016	63159808	740096	59859968	130080000	13509888	227129856	292269824	277410048	118230016	200720128
256	1600000	11579904	62840064	730112	59849984	130049792	13220096	229410048	292389888	277219840	117929984	201049856
257	1979904	11170048	62550016	740096	59880192	130119936	12859904	229350144	292389888	276229888	117629952	200950016
258	2190080	10710016	62029824	760064	62259968	129839872	13040128	236840192	338109952	275859968	117449984	200910080
259	2370048	9969920	61149952	760064	62700032	129530112	20390144	241709824	337980160	275789824	117179904	200910080
260	2510080	9480192	61120000	739840	63689984	129199872	19549952	241689856	337879808	276199936	118320128	200619776
261	2379776	8369920	60859904	729856	65280000	128899840	19510016	241600000	337710080	276270080	118660096	200280064
262	1689856	7959808	60570112	759808	66920192	128800000	19739904	241420032	337550080	275910144	118540032	200160000
263	1699840	11200000	61270016	729856	67420160	128840192	19669760	241359872	337299968	275610112	118259968	200030208
264	1390080	11320064	61179904	759808	67520000	128549888	20099840	247849984	337160192	275449856	118030080	199920128
265	1509888	11689984	61230080	739840	67360000	128219904	20209920	250320128	336969984	275130112	117889792	202249984
266	2119936	17209856	61560064	739840	67200000	127880192	20050176	250340096	336819968	275410176	117590016	203729920
267	2109952	17159936	63340032	760064	69050112	127719936	20049920	257849856	336610048	311699968	117410048	204489984
268	2300160	16930048	64300032	750080	70510080	130099968	19610112	261060096	336450048	311639808	117099776	205910016
269	2089984	17890048	63180032	760064	72079872	130729984	19229952	262500096	336269824	312130048	116920064	206639872
